epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6157,1.74127,3.12417,1.32654,0.00345,0.84211,0.14836,0.05773,1.60237,3.40081,1.1034,0.00042,0.00042,0.00042
2,17.8893,1.60506,1.70011,1.2,0.00357,0.89474,0.0228,0.00776,1.4652,3.26249,1.09032,0.000851486,0.000851486,0.000851486
3,21.2764,1.5955,1.46277,1.18765,0.0992,0.11579,0.03815,0.01367,1.80732,3.06856,1.43324,0.00127426,0.00127426,0.00127426
4,23.6342,1.5421,1.39718,1.1812,0.34612,0.23158,0.23614,0.1231,1.64086,2.60094,1.34042,0.00168832,0.00168832,0.00168832
5,25.9133,1.60254,1.33693,1.22961,0.33177,0.41053,0.264,0.12812,1.69549,2.34897,1.33861,0.0019208,0.0019208,0.0019208
6,28.4876,1.54756,1.29886,1.22349,0.46098,0.49474,0.40546,0.20378,1.6657,1.87342,1.35889,0.001901,0.001901,0.001901
7,30.8382,1.41214,1.16806,1.1602,0.63089,0.5218,0.56024,0.27547,1.64512,1.79259,1.30354,0.0018812,0.0018812,0.0018812
8,33.0543,1.48777,1.13761,1.19408,0.73693,0.52632,0.54811,0.27987,1.81642,1.83587,1.41805,0.0018614,0.0018614,0.0018614
9,36.0945,1.48906,1.14342,1.19693,0.77387,0.64845,0.69908,0.37379,1.60531,1.53631,1.26915,0.0018416,0.0018416,0.0018416
10,41.1873,1.43363,1.03215,1.18379,0.80945,0.61053,0.73089,0.39451,1.53186,1.22309,1.27559,0.0018218,0.0018218,0.0018218
11,45.8776,1.44297,1.05616,1.13721,0.84908,0.68421,0.76484,0.39517,1.61702,1.16754,1.2995,0.001802,0.001802,0.001802
12,50.9906,1.43848,1.03468,1.1433,0.6256,0.66316,0.61563,0.29203,1.63387,1.57032,1.24496,0.0017822,0.0017822,0.0017822
13,56.0428,1.3985,0.9939,1.13548,0.69738,0.60647,0.63362,0.32788,1.61331,1.27431,1.2261,0.0017624,0.0017624,0.0017624
14,60.3788,1.3933,0.9675,1.10953,0.78756,0.62442,0.66576,0.37286,1.56367,1.18187,1.21758,0.0017426,0.0017426,0.0017426
15,62.6753,1.35275,0.93115,1.12682,0.82613,0.55018,0.67611,0.38671,1.58623,1.21532,1.23889,0.0017228,0.0017228,0.0017228
16,64.9849,1.31745,0.91792,1.09854,0.74867,0.67368,0.73977,0.37496,1.6797,1.15717,1.26694,0.001703,0.001703,0.001703
17,67.2312,1.32284,0.91016,1.10701,0.73364,0.63158,0.71137,0.38254,1.49009,1.30559,1.14446,0.0016832,0.0016832,0.0016832
18,69.4853,1.28964,0.87921,1.08223,0.80646,0.78952,0.78256,0.42433,1.51614,1.04165,1.16716,0.0016634,0.0016634,0.0016634
19,73.3656,1.29317,0.86189,1.09785,0.66103,0.73902,0.73188,0.40608,1.47764,0.99232,1.16528,0.0016436,0.0016436,0.0016436
20,78.1909,1.26027,0.8509,1.07556,0.7597,0.76541,0.76435,0.41877,1.53561,1.0365,1.15637,0.0016238,0.0016238,0.0016238
21,83.0844,1.3086,0.83853,1.08756,0.71154,0.71579,0.65416,0.36147,1.6415,1.16919,1.29258,0.001604,0.001604,0.001604
22,87.9476,1.26857,0.85196,1.0838,0.76633,0.77895,0.78629,0.41884,1.51454,0.99576,1.19401,0.0015842,0.0015842,0.0015842
23,92.7712,1.25128,0.81565,1.05348,0.81774,0.70847,0.77737,0.45473,1.44001,1.05939,1.14475,0.0015644,0.0015644,0.0015644
24,97.5825,1.25141,0.80245,1.07394,0.84367,0.72632,0.77725,0.43778,1.56222,0.95415,1.22982,0.0015446,0.0015446,0.0015446
25,102.144,1.27257,0.79171,1.09225,0.8101,0.7634,0.7743,0.43505,1.51163,1.00299,1.18065,0.0015248,0.0015248,0.0015248
26,106.959,1.26883,0.77599,1.08518,0.81948,0.72632,0.80132,0.44576,1.48269,0.98209,1.16235,0.001505,0.001505,0.001505
27,111.574,1.13664,0.77645,1.05323,0.74406,0.79566,0.78301,0.43339,1.49653,1.00397,1.17506,0.0014852,0.0014852,0.0014852
28,116.528,1.19451,0.75226,1.04977,0.8309,0.77589,0.79896,0.45645,1.50754,0.962,1.20045,0.0014654,0.0014654,0.0014654
29,119.765,1.14834,0.73217,1.03031,0.76478,0.77895,0.76918,0.42232,1.48051,1.00924,1.17734,0.0014456,0.0014456,0.0014456
30,122.153,1.22703,0.75412,1.08556,0.80757,0.751,0.79911,0.46915,1.41817,0.90101,1.15072,0.0014258,0.0014258,0.0014258
31,124.505,1.1999,0.74882,1.04149,0.69622,0.84439,0.79972,0.42822,1.52155,0.91136,1.16561,0.001406,0.001406,0.001406
32,127.016,1.1902,0.74204,1.04442,0.72477,0.74841,0.77468,0.45197,1.46374,0.93324,1.15777,0.0013862,0.0013862,0.0013862
33,129.336,1.17073,0.73942,1.04211,0.78689,0.78947,0.81199,0.47017,1.40783,0.88898,1.1426,0.0013664,0.0013664,0.0013664
34,131.899,1.14437,0.70617,1.05178,0.77465,0.79609,0.83427,0.4709,1.45343,0.85095,1.13568,0.0013466,0.0013466,0.0013466
35,134.464,1.18001,0.71002,1.03565,0.79218,0.77895,0.8263,0.46242,1.45177,0.90963,1.12334,0.0013268,0.0013268,0.0013268
36,136.781,1.08622,0.68564,1.0041,0.76666,0.75789,0.7958,0.46094,1.40586,0.90356,1.13907,0.001307,0.001307,0.001307
37,139.085,1.13692,0.68897,1.02421,0.88035,0.68421,0.81878,0.47165,1.42195,0.87574,1.12532,0.0012872,0.0012872,0.0012872
38,141.477,1.16095,0.70686,1.03796,0.80125,0.73684,0.80622,0.47514,1.38169,0.85903,1.12373,0.0012674,0.0012674,0.0012674
39,143.795,1.07754,0.65415,1.0048,0.76618,0.83158,0.8436,0.51898,1.34714,0.84528,1.09793,0.0012476,0.0012476,0.0012476
40,146.124,1.0817,0.64203,1.0045,0.82373,0.77895,0.80334,0.46067,1.50607,0.88629,1.1635,0.0012278,0.0012278,0.0012278
41,148.399,1.09074,0.67106,1.00356,0.76563,0.83158,0.83307,0.48755,1.43767,0.83722,1.12892,0.001208,0.001208,0.001208
42,150.733,1.11882,0.66155,1.02067,0.85202,0.73684,0.81371,0.48633,1.40994,0.82325,1.13272,0.0011882,0.0011882,0.0011882
43,153.128,1.06948,0.65947,0.99256,0.84998,0.73684,0.82272,0.50532,1.36729,0.78211,1.1402,0.0011684,0.0011684,0.0011684
44,155.547,1.09051,0.67175,1.01148,0.82814,0.76842,0.79721,0.43327,1.54719,0.89078,1.17327,0.0011486,0.0011486,0.0011486
45,157.841,1.08471,0.65016,1.00702,0.7765,0.73144,0.7969,0.4692,1.41962,0.8991,1.15827,0.0011288,0.0011288,0.0011288
46,160.146,1.09721,0.66537,1.01644,0.81532,0.77895,0.81296,0.46807,1.44629,0.94308,1.15194,0.001109,0.001109,0.001109
47,164.619,1.09372,0.6513,1.00401,0.77676,0.8,0.85596,0.47464,1.49612,0.9305,1.16173,0.0010892,0.0010892,0.0010892
48,167.445,1.03625,0.62615,1.01052,0.82099,0.74737,0.81112,0.47607,1.38256,0.93181,1.11361,0.0010694,0.0010694,0.0010694
49,169.706,1.06384,0.63166,1.00815,0.73841,0.80227,0.78632,0.43789,1.4852,0.97398,1.18345,0.0010496,0.0010496,0.0010496
50,172.016,1.02606,0.61897,0.98957,0.78435,0.82105,0.81325,0.49135,1.38254,0.84681,1.14641,0.0010298,0.0010298,0.0010298
51,174.271,1.04333,0.62926,1.00436,0.81681,0.75101,0.79843,0.48303,1.37735,0.84034,1.13212,0.00101,0.00101,0.00101
52,176.506,1.01303,0.61776,0.98041,0.8007,0.80354,0.82013,0.48405,1.43575,0.90002,1.14483,0.0009902,0.0009902,0.0009902
